sample	group	N2O	NO3-	NH4+	DOC	MBC	MBN	AOA	AOB	nirS	nirK	norZ
CK	60%WHC	1.370061631	13.359375	4.5421875	164.1903531	457.06727	7.685733926	8.423627516	6.622169027	7.42492975	7.338933846	7.607901065
CK	60%WHC	1.2871084	14.7825	4.887	154.511417	527.2793756	11.1166907	8.441038386	6.742068381	7.465443372	7.409818158	7.690837402
CK	60%WHC	2.698471366	13.122	4.212	156.5788798	710.8203019	61.10599222	8.484995947	6.778036068	7.641027412	7.455759171	7.693756322
CK	100%WHC	1.117193606	8.81125	4.24	207.5237702	580.5888567	50.52592899	8.489928539	6.749901514	7.473968415	7.38681824	7.668994429
CK	100%WHC	0.563368118	11.14445455	4.408636364	272.1088435	504.2222966	77.19776123	8.465330787	6.70819975	7.357030755	7.341573804	7.671516734
CK	100%WHC	1.614755936	11.74037915	3.647203791	377.8883184	593.5914185	91.88831251	8.403937463	6.70155049	7.439222879	7.427776681	7.591228272
CK	Flooded	9.94163404	0.034871795	7.863589744	562.5	442.4664603	89.888392	8.210873246	6.665211849	7.460644678	7.172544566	7.574404435
CK	Flooded	11.67352179	17.83265306	16.08061224	529.6523517	510.758487	81.77238679	8.440086459	6.881468253	7.734794735	7.492074968	7.866682332
CK	Flooded	11.14101256	-0.542028986	5.666666667	342.9179979	710.6493113	85.83039	8.515579507	6.782153993	7.600333172	7.43744855	7.740362689
MB	60%WHC	1.164490741	8.858128079	9.350246305	300.1592149	752.8631129	19.33392688	9.577031986	6.06265718	7.676876432	7.867820908	8.629001619
MB	60%WHC	1.057789929	8.696984925	10.04020101	267.5075549	803.5829114	13.82081517	9.347134783	5.418963831	7.424228071	7.638688887	8.418963831
MB	60%WHC	1.263808317	9.525380711	8.565989848	269.250646	814.706179	33.54775965	9.990161193	5.971275849	7.920123326	7.990161193	8.822168079
MB	100%WHC	1.006020207	8.636040609	12.13888325	375.9515302	665.2186275	11.47943318	9.750662646	6.070997797	7.819017199	7.930847192	8.648164779
MB	100%WHC	1.383863576	8.693944954	10.69238532	341.933966	733.7512549	11.72191671	9.578868329	5.62076049	7.660486016	7.860777	8.598571663
MB	100%WHC	1.177716391	7.910447761	9.460895522	417.3081598	913.7463099	33.37931743	9.787318757	5.913389944	7.891648944	7.790707287	8.753123245
MB	Flooded	2.354464828	1.327431193	12.50119266	637.4085684	826.8557832	29.70463155	9.726564216	5.850523709	7.716003344	7.894316063	8.554368001
MB	Flooded	2.252397924	1.94722467	14.34502203	619.9186992	1158.378357	33.32585343	9.783903579	6.044853217	7.685562611	7.806179974	8.630631244
MB	Flooded	2.68448426	0.456534653	13.96366337	711.4754098	1030.558169	38.63186813	9.657438323	5.959994838	7.685562611	7.838597253	8.522183318
RB	60%WHC	0.497246346	17.49545455	10.06363636	303.9776338	482.378555	35.60411442	9.331224781	5.975707464	7.615739689	7.59505509	8.148602655
RB	60%WHC	1.072666646	17.41690141	10.15352113	366.2211234	452.072646	37.39277954	9.199316274	5.927575655	7.694078462	7.645029065	8.151063253
RB	60%WHC	1.566939554	17.66299559	7.207929515	421.0417153	419.9557138	40.03155555	9.27600199	6.021023822	7.716003344	7.658964843	8.261024834
RB	100%WHC	1.018892989	14.70945813	8.709753695	597.441805	522.3511169	54.99751871	9.294025094	6.176785575	7.569607968	7.646599752	8.197996898
RB	100%WHC	1.103804204	15.54508929	10.50535714	526.0162602	905.3940257	79.10625246	9.245512668	6.216957207	7.524266269	7.666517981	8.080337823
RB	100%WHC	1.073510489	16.335	10.125	531.0280951	758.6492613	41.377537	9.176322821	5.879898324	7.56014584	7.502973059	8.023663918
RB	Flooded	1.895029448	-0.600803213	9.612851406	693.989071	836.3494429	23.34035121	9.272305844	5.918449742	7.670987603	7.685562611	8.131490346
RB	Flooded	2.759286407	-0.276142132	13.01319797	683.8709677	818.7482768	54.875471	9.245512668	6.133027673	7.632254777	7.416307587	8.177709606
RB	Flooded	2.658839201	0.143661972	10.91830986	691.9191919	719.4550873	22.19577641	9.331224781	6.106122874	7.356408327	7.538573734	8.253338005
