OTU	a1	a2	a3	a4	a5	a6
OTU_2	6421	12911	14126	6587	6220	4100
OTU_3	1088	846	3608	1470	540	570
OTU_4	713	790	1714	637	465	621
OTU_5	115	56	73	61	23	39
OTU_7	27	25	38	73	53	52
OTU_8	5	4	6	10	3	6
OTU_9	7	14	14	4	4	3
OTU_10	2	1	4	7	6	5
OTU_11	476	709	700	385	326	448
OTU_12	20	22	26	30	26	11
OTU_13	33	16	118	64	3	17
OTU_14	137	119	112	149	91	91
OTU_15	4	2	0	2	1	4
OTU_16	45	58	45	20	35	22
OTU_17	11	13	13	28	20	18
OTU_18	69	88	90	92	71	45
OTU_19	29	76	47	19	119	64
OTU_20	8	14	7	18	8	11
OTU_21	0	0	1	0	0	1
OTU_22	2	5	7	17	8	6
OTU_23	6	8	9	10	10	8
OTU_24	0	0	0	2	0	0
OTU_25	3	9	2	4	2	0
OTU_26	40	49	58	54	34	32
OTU_27	0	2	1	3	0	5
OTU_28	9	44	43	11	7	18
OTU_29	1	0	2	3	2	1
OTU_31	0	0	1	1	0	0
OTU_32	2	4	4	15	4	4
OTU_33	19	25	22	31	15	25
OTU_34	0	14	10	58	30	21
OTU_35	5	5	6	8	2	6
OTU_36	1	3	7	9	7	5
OTU_37	1	0	1	1	0	4
OTU_38	0	0	1	5	1	1
OTU_39	164	70	103	164	97	62
OTU_40	36	30	41	39	35	15
OTU_41	306	120	204	301	148	163
OTU_42	2	0	0	3	1	1
OTU_43	7	7	6	2	1	2
OTU_44	13	17	20	56	22	37
OTU_45	14	24	13	17	20	15
OTU_46	15	4	14	9	10	5
OTU_47	2	3	2	11	2	3
OTU_48	0	2	0	0	2	5
OTU_49	0	0	0	1	1	0
OTU_50	0	0	0	0	1	0
OTU_51	169	120	405	229	82	52
OTU_52	9	5	14	15	2	9
OTU_53	11	23	9	35	28	31
OTU_54	110	40	60	72	59	26
OTU_55	176	75	147	204	147	128
OTU_56	7	15	11	13	3	11
OTU_57	0	0	0	2	1	0
OTU_58	31	53	37	26	17	35
OTU_59	0	0	0	0	0	1
OTU_60	8	8	11	13	11	5
OTU_62	11	5	6	11	9	6
OTU_63	1	0	1	1	0	0
OTU_64	33	32	63	74	19	35
OTU_65	27	76	59	41	51	35
OTU_66	18	15	18	28	17	15
OTU_67	1	0	0	2	0	0
OTU_68	7	8	5	16	7	5
OTU_69	1	4	1	3	1	2
OTU_70	6	8	15	17	9	6
OTU_71	75	80	99	186	244	61
OTU_72	7	1	1	6	2	3
OTU_73	4	17	16	7	28	27
OTU_74	15	29	55	56	63	65
OTU_75	1	0	0	6	0	2
OTU_76	36	18	42	165	48	47
OTU_77	12	10	10	13	6	6
OTU_78	1	3	3	1	1	1
OTU_79	1	0	2	1	3	1
OTU_80	2	2	2	7	1	2
OTU_81	18	17	26	48	28	27
OTU_82	7	28	13	12	7	16
OTU_83	2	5	4	6	2	5
OTU_84	0	0	2	0	0	0
OTU_85	1	0	1	0	1	0
OTU_86	3	0	1	3	2	1
OTU_87	1	2	0	5	1	1
OTU_88	0	2	0	2	0	1
OTU_89	19	8	23	11	21	11
OTU_90	49	28	63	96	36	55
OTU_91	2	0	0	1	1	1
OTU_92	0	1	2	13	12	2
OTU_93	0	1	1	1	9	0
OTU_95	0	2	1	3	0	0
OTU_96	22	28	27	21	15	9
OTU_97	15	21	25	25	6	9
OTU_98	1	2	0	1	1	4
OTU_99	22	11	17	19	14	20
OTU_100	2	2	2	3	0	3
OTU_101	13	43	27	28	14	15
OTU_103	68	70	59	54	45	38
OTU_104	0	1	1	2	0	1
OTU_105	8	11	20	10	5	6
OTU_106	0	0	1	0	0	0
OTU_108	7	7	16	12	6	3
OTU_109	21	32	27	22	14	15
OTU_110	11	12	16	9	8	7
OTU_111	0	0	0	3	0	1
OTU_112	6	0	0	3	2	1
OTU_113	3	1	4	2	1	3
OTU_114	31	27	43	31	26	12
OTU_115	1	0	0	2	1	0
OTU_116	0	0	1	2	5	3
OTU_117	0	1	2	0	0	1
OTU_118	0	4	4	3	1	1
OTU_119	7	3	3	16	2	5
OTU_120	1	0	0	0	0	1
OTU_121	0	10	2	2	0	11
OTU_122	13	9	12	13	10	13
OTU_123	49	43	47	34	20	26
OTU_124	1	0	1	0	0	2
OTU_126	33	29	52	103	91	31
OTU_127	2	0	2	2	0	4
OTU_128	0	0	4	5	4	1
OTU_129	0	0	0	0	0	1
OTU_131	7	6	3	11	5	0
OTU_132	15	14	8	22	6	4
OTU_133	10	7	14	13	4	8
OTU_134	0	2	4	4	12	2
OTU_135	0	1	1	2	0	0
OTU_136	2	0	2	4	3	2
OTU_137	0	1	0	0	0	0
OTU_138	2	2	4	4	2	0
OTU_139	43	15	36	47	7	17
OTU_140	86	180	166	54	39	49
OTU_141	0	0	0	1	1	0
OTU_142	1	3	5	6	2	5
OTU_143	2	0	4	3	2	7
OTU_144	1	0	0	1	0	1
OTU_145	1	1	0	2	1	0
OTU_146	0	0	0	1	0	0
OTU_147	0	0	0	0	1	0
OTU_148	0	0	0	0	0	1
OTU_149	64	54	51	57	43	29
OTU_150	0	0	0	0	0	3
OTU_151	9	28	29	14	26	34
OTU_152	3	1	2	3	0	1
OTU_153	1	0	0	0	0	2
OTU_155	0	1	0	1	0	0
OTU_156	0	0	0	1	0	1
OTU_158	0	0	1	1	1	0
OTU_159	0	0	0	0	1	0
OTU_160	7	5	4	8	5	6
OTU_161	3	2	4	2	4	1
OTU_162	0	0	1	0	0	0
OTU_163	1	0	0	0	0	2
OTU_164	1	0	2	0	1	2
OTU_165	3	3	2	11	3	1
OTU_166	2	2	1	2	1	1
OTU_168	1	2	4	1	0	1
OTU_169	3	1	1	4	1	2
OTU_171	0	0	2	1	1	0
OTU_172	3	2	1	4	3	1
OTU_173	0	0	0	0	3	0
OTU_174	0	1	1	4	1	1
OTU_175	1	0	0	1	0	0
OTU_176	6	1	4	16	0	3
OTU_177	5	4	3	4	5	3
OTU_178	1	3	1	0	0	1
OTU_179	0	2	0	0	0	0
OTU_181	2	3	7	4	2	1
OTU_182	0	1	2	3	0	2
OTU_183	18	28	38	33	7	13
OTU_184	0	1	2	1	2	1
OTU_185	1	0	1	1	0	0
OTU_186	19	11	19	36	47	12
OTU_187	0	3	0	2	3	2
OTU_188	0	1	0	0	0	1
OTU_189	14	15	13	9	7	7
OTU_190	6	5	4	6	2	3
OTU_192	0	0	2	8	2	3
OTU_193	0	0	1	0	0	0
OTU_194	6	3	6	2	4	3
OTU_195	0	1	1	1	0	0
OTU_196	6	3	4	11	11	9
OTU_197	0	0	0	1	0	0
OTU_198	1	0	0	0	0	0
OTU_199	0	1	1	3	2	0
OTU_201	0	0	0	1	0	0
OTU_203	3	1	0	2	4	2
OTU_204	6	10	12	19	15	12
OTU_205	1	0	0	0	0	0
OTU_206	4	1	0	3	1	1
OTU_207	2	2	9	12	1	9
OTU_208	0	3	4	1	1	2
OTU_209	5	15	10	13	17	7
OTU_210	1	0	0	0	0	0
OTU_211	12	7	12	7	8	9
OTU_212	0	1	2	1	4	2
OTU_213	0	0	1	0	0	0
OTU_215	21	15	29	22	17	12
OTU_217	0	3	0	1	1	1
OTU_218	1	1	0	0	0	0
OTU_219	1	1	0	3	2	2
OTU_221	0	0	1	1	0	2
OTU_222	1	1	0	1	0	0
OTU_223	3	9	6	8	7	6
OTU_224	0	1	2	0	0	1
OTU_225	3	1	2	1	0	1
